"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"1","Rpl37a",2939.44457183677,0.403867023159979,0.10561631622253,3.82390749464357,0.00013135321399655,0.0187792182556703,"Rpl37a"
"2","Ptgds",111.888218800839,-0.70328479306297,0.203455004126453,-3.45670924184229,0.00054681450186149,0.0370151355106245,"Ptgds"
"3","B2m",2533.83459586955,0.400562547872217,0.11568248217782,3.46260332879526,0.00053497645523405,0.0370151355106245,"B2m"
"4","Cst3",95935.7024113101,0.281225521032437,0.0835712128208941,3.36510039210686,0.00076515813276928,0.0443569612692759,"Cst3"
"5","Atp5e",683.44861263313,0.428022048851512,0.110266682245448,3.88169880634258,0.00010372930177265,0.0182563571119878,"Atp5e"
"6","Rps21",3180.28261828123,0.391320246183219,0.105203423391988,3.71965315924331,0.00019949654426192,0.0205043719005489,"Rps21"
"7","Ctss",6491.80375161385,0.298775407808813,0.0848784269455053,3.52003940884338,0.000431482683175,0.0316420634328335,"Ctss"
"8","Notch2",96.1530368717293,0.809153659057927,0.242362055403928,3.33861527007339,0.00084197088898339,0.045777935023887,"Notch2"
"9","Tomm7",273.056480636463,0.595195850823576,0.126240846399032,4.71476441897605,2.41990565215276e-06,0.00094727190645083,"Tomm7"
"10","Hmgb1",769.996316505292,0.295063027281004,0.0860960591358962,3.42713743512079,0.00060998026315813,0.0402586973684366,"Hmgb1"
"11","Sem1",283.327222704219,0.458513931039357,0.129097400299697,3.5516898866664,0.00038276569505688,0.0315781698421929,"Sem1"
"12","Ndufa4",448.029997279355,0.379081624501204,0.107473517406176,3.52720962010145,0.00041996413478183,0.0316420634328335,"Ndufa4"
"13","Snrpg",253.425323334218,0.530654058875682,0.13923736444966,3.81114696456018,0.00013832349653563,0.0187792182556703,"Snrpg"
"14","Cd9",1399.97208386762,0.334557004752149,0.100653475605626,3.32384950185913,0.00088784094773124,0.045984447960878,"Cd9"
"15","Ndufa3",221.267940476714,0.554809658513512,0.126761254782851,4.37680787764316,1.20430037819241e-05,0.00317935299842797,"Ndufa3"
"16","Rps17",1060.72837647476,0.344081432039576,0.10217550990183,3.36755287416886,0.00075838482463663,0.0443569612692759,"Rps17"
"17","Pet100",98.8603278968477,0.701286713702594,0.190143747525251,3.68819234305595,0.00022585289755413,0.0220833944275155,"Pet100"
"18","Uba52",474.403010529734,0.480056529469265,0.123418582752747,3.88966166003538,0.00010038407938133,0.0182563571119878,"Uba52"
"19","Ankrd11",311.517124877847,-0.528354576499344,0.149504732618815,-3.53403244997243,0.00040927082768377,0.0316420634328335,"Ankrd11"
"20","Ubl5",346.51328672397,0.452320333283931,0.134303974917149,3.36788493090367,0.0007574720358509,0.0443569612692759,"Ubl5"
"21","Kmt2a",181.947861009822,-0.489044595555021,0.138154790862919,-3.53983088462176,0.00040038351041814,0.0316420634328335,"Kmt2a"
"22","Adam10",372.637200865138,0.466930968702093,0.14048554423522,3.32369405865911,0.00088833592651696,0.045984447960878,"Adam10"
"23","Golga4",131.926607159163,-0.604430690793838,0.174542021065523,-3.46295228566728,0.0005342831313538,0.0370151355106245,"Golga4"
"24","Rps26",1234.26393047514,0.388208802744212,0.114977840364118,3.37637932243997,0.00073446583703638,0.0443569612692759,"Rps26"
"25","9930111J21Rik2",279.708359763044,-0.414245064706791,0.123420044123094,-3.35638402700326,0.00078968832562726,0.0443569612692759,"9930111J21Rik2"
