"","group","pseudotime_bin_num","features","value","Geno","new_group"
"53","Kbk.1m.Un",19,"stage1_DAM1",1.40748848277463,"Kbk","Kbk.1m
(Un)"
"54","Kbk.1m.Un",19,"stage2_DAM2",0.442356373540456,"Kbk","Kbk.1m
(Un)"
"55","Kbk.1m.Un",20,"homeostatic3",2.86781499660073,"Kbk","Kbk.1m
(Un)"
"56","Kbk.1m.Un",20,"stage1_DAM1",1.43150697288302,"Kbk","Kbk.1m
(Un)"
"57","Kbk.1m.Un",20,"stage2_DAM2",0.430740777054515,"Kbk","Kbk.1m
(Un)"
"58","Kbk.1m.Un",21,"homeostatic3",2.89323210987132,"Kbk","Kbk.1m
(Un)"
"59","Kbk.1m.Un",21,"stage1_DAM1",1.48432290522721,"Kbk","Kbk.1m
(Un)"
"60","Kbk.1m.Un",21,"stage2_DAM2",0.484508254898968,"Kbk","Kbk.1m
(Un)"
"61","Kbk.1m.Un",22,"homeostatic3",2.8732095950692,"Kbk","Kbk.1m
(Un)"
"62","Kbk.1m.Un",22,"stage1_DAM1",1.54193354169981,"Kbk","Kbk.1m
(Un)"
"63","Kbk.1m.Un",22,"stage2_DAM2",0.500277736542283,"Kbk","Kbk.1m
(Un)"
"64","Kbk.1m.Un",23,"homeostatic3",2.87816230194259,"Kbk","Kbk.1m
(Un)"
"65","Kbk.1m.Un",23,"stage1_DAM1",1.50292215892887,"Kbk","Kbk.1m
(Un)"
"66","Kbk.1m.Un",23,"stage2_DAM2",0.465652624452523,"Kbk","Kbk.1m
(Un)"
"67","Kbk.1m.Un",24,"homeostatic3",2.56193594261907,"Kbk","Kbk.1m
(Un)"
"68","Kbk.1m.Un",24,"stage1_DAM1",1.56938762555336,"Kbk","Kbk.1m
(Un)"
"69","Kbk.1m.Un",24,"stage2_DAM2",0.375508842532803,"Kbk","Kbk.1m
(Un)"
"70","Kbk.1m.Un",25,"homeostatic3",2.81648374668182,"Kbk","Kbk.1m
(Un)"
"71","Kbk.1m.Un",25,"stage1_DAM1",2.23547377348353,"Kbk","Kbk.1m
(Un)"
"72","Kbk.1m.Un",25,"stage2_DAM2",0.861881979240357,"Kbk","Kbk.1m
(Un)"
"73","Kbk.3m.DCF",1,"homeostatic3",2.83420584636339,"Kbk","Kbk.3m
(HPBCD)"
"74","Kbk.3m.DCF",1,"stage1_DAM1",1.71357349887929,"Kbk","Kbk.3m
(HPBCD)"
"75","Kbk.3m.DCF",1,"stage2_DAM2",0.481405957015492,"Kbk","Kbk.3m
(HPBCD)"
"76","Kbk.3m.DCF",2,"homeostatic3",3.02384904062678,"Kbk","Kbk.3m
(HPBCD)"
"77","Kbk.3m.DCF",2,"stage1_DAM1",1.52913665360405,"Kbk","Kbk.3m
(HPBCD)"
"78","Kbk.3m.DCF",2,"stage2_DAM2",0.597702779070928,"Kbk","Kbk.3m
(HPBCD)"
"79","Kbk.3m.DCF",3,"homeostatic3",2.96366703209942,"Kbk","Kbk.3m
(HPBCD)"
"80","Kbk.3m.DCF",3,"stage1_DAM1",1.58852018465966,"Kbk","Kbk.3m
(HPBCD)"
"81","Kbk.3m.DCF",3,"stage2_DAM2",0.544107024243338,"Kbk","Kbk.3m
(HPBCD)"
"82","Kbk.3m.DCF",4,"homeostatic3",2.9849645493887,"Kbk","Kbk.3m
(HPBCD)"
"83","Kbk.3m.DCF",4,"stage1_DAM1",1.68500381668918,"Kbk","Kbk.3m
(HPBCD)"
"84","Kbk.3m.DCF",4,"stage2_DAM2",0.565058466277073,"Kbk","Kbk.3m
(HPBCD)"
"85","Kbk.3m.DCF",6,"homeostatic3",3.01835938277228,"Kbk","Kbk.3m
(HPBCD)"
"86","Kbk.3m.DCF",6,"stage1_DAM1",1.69414558696079,"Kbk","Kbk.3m
(HPBCD)"
"87","Kbk.3m.DCF",6,"stage2_DAM2",0.632316904290124,"Kbk","Kbk.3m
(HPBCD)"
"88","Kbk.3m.DCF",7,"homeostatic3",2.88147502612271,"Kbk","Kbk.3m
(HPBCD)"
"89","Kbk.3m.DCF",7,"stage1_DAM1",1.57252972114715,"Kbk","Kbk.3m
(HPBCD)"
"90","Kbk.3m.DCF",7,"stage2_DAM2",0.443212213451165,"Kbk","Kbk.3m
(HPBCD)"
"91","Kbk.3m.DCF",8,"homeostatic3",2.88808286413899,"Kbk","Kbk.3m
(HPBCD)"
"92","Kbk.3m.DCF",8,"stage1_DAM1",1.53832883857715,"Kbk","Kbk.3m
(HPBCD)"
"93","Kbk.3m.DCF",8,"stage2_DAM2",0.479773979452594,"Kbk","Kbk.3m
(HPBCD)"
"94","Kbk.3m.DCF",9,"homeostatic3",2.8362179047462,"Kbk","Kbk.3m
(HPBCD)"
"95","Kbk.3m.DCF",9,"stage1_DAM1",1.58707898618575,"Kbk","Kbk.3m
(HPBCD)"
"96","Kbk.3m.DCF",9,"stage2_DAM2",0.474221183339757,"Kbk","Kbk.3m
(HPBCD)"
"97","Kbk.3m.DCF",10,"homeostatic3",2.8364182423257,"Kbk","Kbk.3m
(HPBCD)"
"98","Kbk.3m.DCF",10,"stage1_DAM1",1.57640245456888,"Kbk","Kbk.3m
(HPBCD)"
"99","Kbk.3m.DCF",10,"stage2_DAM2",0.429944083656813,"Kbk","Kbk.3m
(HPBCD)"
"100","Kbk.3m.DCF",11,"homeostatic3",2.95830529448906,"Kbk","Kbk.3m
(HPBCD)"
"101","Kbk.3m.DCF",11,"stage1_DAM1",1.45999620642879,"Kbk","Kbk.3m
(HPBCD)"
