"","group","Cellproportion","bin_num","bin","Geno","new_group"
"51","Kbk.3m.DMSO_PEG",0.0982905982905983,7,"(3.33,3.88]","Kbk","Kbk.3m
(PEG)"
"52","Kbk.3m.TCF",0.123931623931624,7,"(3.33,3.88]","Kbk","Kbk.3m
(TCF)"
"53","Kbk.3m.Un",0.0384615384615385,7,"(3.33,3.88]","Kbk","Kbk.3m
(Un)"
"54","WT.1m.Un",0.367521367521368,7,"(3.33,3.88]","WT","WT.1m
(Un)"
"55","WT.3m.TCF",0.00427350427350427,7,"(3.33,3.88]","WT","WT.3m
(TCF)"
"56","WT.3m.Un",0.0641025641025641,7,"(3.33,3.88]","WT","WT.3m
(Un)"
"57","Kbk.1m.Un",0.0344827586206897,8,"(3.88,4.44]","Kbk","Kbk.1m
(Un)"
"58","Kbk.3m.DCF",0.103448275862069,8,"(3.88,4.44]","Kbk","Kbk.3m
(HPBCD)"
"59","Kbk.3m.DMSO_PEG",0.0689655172413793,8,"(3.88,4.44]","Kbk","Kbk.3m
(PEG)"
"60","Kbk.3m.TCF",0.241379310344828,8,"(3.88,4.44]","Kbk","Kbk.3m
(TCF)"
"61","WT.1m.Un",0.413793103448276,8,"(3.88,4.44]","WT","WT.1m
(Un)"
"62","WT.3m.Un",0.137931034482759,8,"(3.88,4.44]","WT","WT.3m
(Un)"
"63","Kbk.1m.Un",0.082089552238806,9,"(4.44,4.99]","Kbk","Kbk.1m
(Un)"
"64","Kbk.3m.DCF",0.111940298507463,9,"(4.44,4.99]","Kbk","Kbk.3m
(HPBCD)"
"65","Kbk.3m.DMSO_PEG",0.0671641791044776,9,"(4.44,4.99]","Kbk","Kbk.3m
(PEG)"
"66","Kbk.3m.TCF",0.358208955223881,9,"(4.44,4.99]","Kbk","Kbk.3m
(TCF)"
"67","Kbk.3m.Un",0.0597014925373134,9,"(4.44,4.99]","Kbk","Kbk.3m
(Un)"
"68","WT.1m.Un",0.238805970149254,9,"(4.44,4.99]","WT","WT.1m
(Un)"
"69","WT.3m.DCF",0.00746268656716418,9,"(4.44,4.99]","WT","WT.3m
(HPBCD)"
"70","WT.3m.TCF",0.00746268656716418,9,"(4.44,4.99]","WT","WT.3m
(TCF)"
"71","WT.3m.Un",0.0671641791044776,9,"(4.44,4.99]","WT","WT.3m
(Un)"
"72","Kbk.1m.Un",0.246376811594203,10,"(4.99,5.55]","Kbk","Kbk.1m
(Un)"
"73","Kbk.3m.DCF",0.173913043478261,10,"(4.99,5.55]","Kbk","Kbk.3m
(HPBCD)"
"74","Kbk.3m.DMSO_PEG",0.0434782608695652,10,"(4.99,5.55]","Kbk","Kbk.3m
(PEG)"
"75","Kbk.3m.TCF",0.347826086956522,10,"(4.99,5.55]","Kbk","Kbk.3m
(TCF)"
"76","Kbk.3m.Un",0.101449275362319,10,"(4.99,5.55]","Kbk","Kbk.3m
(Un)"
"77","WT.1m.Un",0.0289855072463768,10,"(4.99,5.55]","WT","WT.1m
(Un)"
"78","WT.3m.TCF",0.0144927536231884,10,"(4.99,5.55]","WT","WT.3m
(TCF)"
"79","WT.3m.Un",0.0434782608695652,10,"(4.99,5.55]","WT","WT.3m
(Un)"
"80","Kbk.1m.Un",0.0673076923076923,11,"(5.55,6.1]","Kbk","Kbk.1m
(Un)"
"81","Kbk.3m.DCF",0.144230769230769,11,"(5.55,6.1]","Kbk","Kbk.3m
(HPBCD)"
"82","Kbk.3m.DMSO_PEG",0.139423076923077,11,"(5.55,6.1]","Kbk","Kbk.3m
(PEG)"
"83","Kbk.3m.TCF",0.221153846153846,11,"(5.55,6.1]","Kbk","Kbk.3m
(TCF)"
"84","Kbk.3m.Un",0.134615384615385,11,"(5.55,6.1]","Kbk","Kbk.3m
(Un)"
"85","WT.1m.Un",0.0528846153846154,11,"(5.55,6.1]","WT","WT.1m
(Un)"
"86","WT.3m.DCF",0.0721153846153846,11,"(5.55,6.1]","WT","WT.3m
(HPBCD)"
"87","WT.3m.DMSO_PEG",0.0384615384615385,11,"(5.55,6.1]","WT","WT.3m
(PEG)"
"88","WT.3m.TCF",0.0721153846153846,11,"(5.55,6.1]","WT","WT.3m
(TCF)"
"89","WT.3m.Un",0.0576923076923077,11,"(5.55,6.1]","WT","WT.3m
(Un)"
"90","Kbk.1m.Un",0.157446808510638,12,"(6.1,6.66]","Kbk","Kbk.1m
(Un)"
"91","Kbk.3m.DCF",0.148936170212766,12,"(6.1,6.66]","Kbk","Kbk.3m
(HPBCD)"
"92","Kbk.3m.DMSO_PEG",0.0978723404255319,12,"(6.1,6.66]","Kbk","Kbk.3m
(PEG)"
"93","Kbk.3m.TCF",0.374468085106383,12,"(6.1,6.66]","Kbk","Kbk.3m
(TCF)"
"94","Kbk.3m.Un",0.119148936170213,12,"(6.1,6.66]","Kbk","Kbk.3m
(Un)"
"95","WT.1m.Un",0.025531914893617,12,"(6.1,6.66]","WT","WT.1m
(Un)"
"96","WT.3m.DCF",0.0127659574468085,12,"(6.1,6.66]","WT","WT.3m
(HPBCD)"
"97","WT.3m.DMSO_PEG",0.00851063829787234,12,"(6.1,6.66]","WT","WT.3m
(PEG)"
"98","WT.3m.Un",0.0553191489361702,12,"(6.1,6.66]","WT","WT.3m
(Un)"
"99","Kbk.1m.Un",0.201298701298701,13,"(6.66,7.21]","Kbk","Kbk.1m
(Un)"
"100","Kbk.3m.DCF",0.0714285714285714,13,"(6.66,7.21]","Kbk","Kbk.3m
(HPBCD)"
"101","Kbk.3m.DMSO_PEG",0.0844155844155844,13,"(6.66,7.21]","Kbk","Kbk.3m
(PEG)"
"102","Kbk.3m.TCF",0.415584415584416,13,"(6.66,7.21]","Kbk","Kbk.3m
(TCF)"
"103","Kbk.3m.Un",0.11038961038961,13,"(6.66,7.21]","Kbk","Kbk.3m
(Un)"
"104","WT.1m.Un",0.025974025974026,13,"(6.66,7.21]","WT","WT.1m
(Un)"
"105","WT.3m.TCF",0.00649350649350649,13,"(6.66,7.21]","WT","WT.3m
(TCF)"
"106","WT.3m.Un",0.0844155844155844,13,"(6.66,7.21]","WT","WT.3m
(Un)"
"107","Kbk.1m.Un",0.118773946360153,14,"(7.21,7.77]","Kbk","Kbk.1m
(Un)"
"108","Kbk.3m.DCF",0.159003831417625,14,"(7.21,7.77]","Kbk","Kbk.3m
(HPBCD)"
"109","Kbk.3m.DMSO_PEG",0.132183908045977,14,"(7.21,7.77]","Kbk","Kbk.3m
(PEG)"
"110","Kbk.3m.TCF",0.28544061302682,14,"(7.21,7.77]","Kbk","Kbk.3m
(TCF)"
"111","Kbk.3m.Un",0.111111111111111,14,"(7.21,7.77]","Kbk","Kbk.3m
(Un)"
"112","WT.1m.Un",0.0498084291187739,14,"(7.21,7.77]","WT","WT.1m
(Un)"
"113","WT.3m.DCF",0.0134099616858238,14,"(7.21,7.77]","WT","WT.3m
(HPBCD)"
"114","WT.3m.DMSO_PEG",0.0172413793103448,14,"(7.21,7.77]","WT","WT.3m
(PEG)"
"115","WT.3m.TCF",0.0210727969348659,14,"(7.21,7.77]","WT","WT.3m
(TCF)"
"116","WT.3m.Un",0.0919540229885057,14,"(7.21,7.77]","WT","WT.3m
(Un)"
"117","Kbk.1m.Un",0.0927835051546392,15,"(7.77,8.32]","Kbk","Kbk.1m
(Un)"
"118","Kbk.3m.DCF",0.144329896907216,15,"(7.77,8.32]","Kbk","Kbk.3m
(HPBCD)"
"119","Kbk.3m.DMSO_PEG",0.172680412371134,15,"(7.77,8.32]","Kbk","Kbk.3m
(PEG)"
"120","Kbk.3m.TCF",0.288659793814433,15,"(7.77,8.32]","Kbk","Kbk.3m
(TCF)"
"121","Kbk.3m.Un",0.115979381443299,15,"(7.77,8.32]","Kbk","Kbk.3m
(Un)"
"122","WT.1m.Un",0.0489690721649485,15,"(7.77,8.32]","WT","WT.1m
(Un)"
"123","WT.3m.DCF",0.0077319587628866,15,"(7.77,8.32]","WT","WT.3m
(HPBCD)"
"124","WT.3m.DMSO_PEG",0.0077319587628866,15,"(7.77,8.32]","WT","WT.3m
(PEG)"
"125","WT.3m.TCF",0.0154639175257732,15,"(7.77,8.32]","WT","WT.3m
(TCF)"
"126","WT.3m.Un",0.105670103092784,15,"(7.77,8.32]","WT","WT.3m
(Un)"
"127","Kbk.1m.Un",0.134615384615385,16,"(8.32,8.87]","Kbk","Kbk.1m
(Un)"
"128","Kbk.3m.DCF",0.0961538461538462,16,"(8.32,8.87]","Kbk","Kbk.3m
(HPBCD)"
"129","Kbk.3m.DMSO_PEG",0.0961538461538462,16,"(8.32,8.87]","Kbk","Kbk.3m
(PEG)"
"130","Kbk.3m.TCF",0.178321678321678,16,"(8.32,8.87]","Kbk","Kbk.3m
(TCF)"
"131","Kbk.3m.Un",0.0751748251748252,16,"(8.32,8.87]","Kbk","Kbk.3m
(Un)"
"132","WT.1m.Un",0.145104895104895,16,"(8.32,8.87]","WT","WT.1m
(Un)"
"133","WT.3m.DCF",0.0472027972027972,16,"(8.32,8.87]","WT","WT.3m
(HPBCD)"
"134","WT.3m.DMSO_PEG",0.0506993006993007,16,"(8.32,8.87]","WT","WT.3m
(PEG)"
"135","WT.3m.TCF",0.0961538461538462,16,"(8.32,8.87]","WT","WT.3m
(TCF)"
"136","WT.3m.Un",0.0804195804195804,16,"(8.32,8.87]","WT","WT.3m
(Un)"
"137","Kbk.1m.Un",0.0552825552825553,17,"(8.87,9.43]","Kbk","Kbk.1m
(Un)"
"138","Kbk.3m.DCF",0.109336609336609,17,"(8.87,9.43]","Kbk","Kbk.3m
(HPBCD)"
"139","Kbk.3m.DMSO_PEG",0.126535626535627,17,"(8.87,9.43]","Kbk","Kbk.3m
(PEG)"
"140","Kbk.3m.TCF",0.173218673218673,17,"(8.87,9.43]","Kbk","Kbk.3m
(TCF)"
"141","Kbk.3m.Un",0.16953316953317,17,"(8.87,9.43]","Kbk","Kbk.3m
(Un)"
"142","WT.1m.Un",0.0651105651105651,17,"(8.87,9.43]","WT","WT.1m
(Un)"
"143","WT.3m.DCF",0.0479115479115479,17,"(8.87,9.43]","WT","WT.3m
(HPBCD)"
"144","WT.3m.DMSO_PEG",0.0565110565110565,17,"(8.87,9.43]","WT","WT.3m
(PEG)"
"145","WT.3m.TCF",0.0896805896805897,17,"(8.87,9.43]","WT","WT.3m
(TCF)"
"146","WT.3m.Un",0.106879606879607,17,"(8.87,9.43]","WT","WT.3m
(Un)"
"147","Kbk.1m.Un",0.0505243088655863,18,"(9.43,9.98]","Kbk","Kbk.1m
(Un)"
"148","Kbk.3m.DCF",0.0638703527168732,18,"(9.43,9.98]","Kbk","Kbk.3m
(HPBCD)"
"149","Kbk.3m.DMSO_PEG",0.107721639656816,18,"(9.43,9.98]","Kbk","Kbk.3m
(PEG)"
"150","Kbk.3m.TCF",0.0457578646329838,18,"(9.43,9.98]","Kbk","Kbk.3m
(TCF)"
"151","Kbk.3m.Un",0.0972354623450906,18,"(9.43,9.98]","Kbk","Kbk.3m
(Un)"
"152","WT.1m.Un",0.114394661582459,18,"(9.43,9.98]","WT","WT.1m
(Un)"
"153","WT.3m.DCF",0.136320305052431,18,"(9.43,9.98]","WT","WT.3m
(HPBCD)"
"154","WT.3m.DMSO_PEG",0.120114394661582,18,"(9.43,9.98]","WT","WT.3m
(PEG)"
"155","WT.3m.TCF",0.206863679694948,18,"(9.43,9.98]","WT","WT.3m
(TCF)"
"156","WT.3m.Un",0.0571973307912297,18,"(9.43,9.98]","WT","WT.3m
(Un)"
"157","Kbk.1m.Un",0.0578175895765472,19,"(9.98,10.5]","Kbk","Kbk.1m
(Un)"
"158","Kbk.3m.DCF",0.0358306188925081,19,"(9.98,10.5]","Kbk","Kbk.3m
(HPBCD)"
